date,open,high,low,close,volume,vwap
2023-05-08,28472.68,28676.38,27279.66,27695.06,19122903752,28030.945
2023-05-09,27693.24,27833.64,27367.01,27647.29,14128593256,27635.295
2023-05-10,27647.29,28334.75,26800,27624.01,20656025026,27601.5125
2023-05-11,27621.5,27649.85,26702,26986.56,16724343943,27239.9775
2023-05-12,26986.79,27099.21,25810,26808.84,19313599897,26676.21
2023-05-13,26808.8,27060.24,26700,26789.48,9999171605,26839.63
2023-05-14,26786.99,27221.51,26581.52,26929.98,10014858959,26880
2023-05-15,26929.98,27678.73,26740.95,27171.13,14413231792,27130.1975
2023-05-16,27165.26,27302.99,26860.12,27037.68,12732238816,27091.5125
2023-05-17,27037.72,27516.58,26543.87,27407.77,15140006925,27126.485
2023-05-18,27407.76,27487.71,26361.52,26820.49,15222938600,27019.37
2023-05-19,26819.64,27190.35,26632.73,26890.27,11258983301,26883.2475
2023-05-20,26890.27,27178.99,26836.21,27113.61,7044911360,27004.77
2023-05-21,27113.97,27288.02,26667.63,26752.65,8647416921,26955.5675
2023-05-22,26751,27105.63,26536.99,26854.73,11056770492,26812.0875
2023-05-23,26854.09,27500,26803.46,27223.22,13697203143,27095.1925
2023-05-24,27222.86,27225,26070.04,26321.4,16299104428,26709.825
2023-05-25,26321.42,26625.93,25864.35,26479.06,13851122697,26322.69
2023-05-26,26479.15,26950,26334.33,26714.86,12711619225,26619.585
2023-05-27,26711.56,26943.6,26559.96,26867.99,7892015141,26770.7775
2023-05-28,26870.13,28277.56,26780.11,28070.04,14545229578,27499.46
2023-05-29,28070.04,28473.93,27534.81,27744.82,15181308984,27955.9
2023-05-30,27744.81,28057.23,27555,27700.15,13251081851,27764.2975
2023-05-31,27700.68,27844.89,26842.94,27223.08,15656371534,27402.8975
2023-06-01,27221.54,27360.31,26615,26828.42,14678970415,27006.3175
2023-06-02,26827.73,27307.44,26508,27250.69,14837415000,26973.465
2023-06-03,27252.67,27341.13,26923.35,27077.6,8385597470,27148.6875
